STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EVAP,PRCP,TMAX,TMIN,WDMV
USC00404632,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/5/2013,15,9.9,24.7,19.2,92.5
USC00404633,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/6/2013,22.3,7.5,28.4,19.6,85.6
USC00404634,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/7/2013,24.2,0.1,30.3,19.5,80.8
USC00404635,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/8/2013,24.4,0,30.9,21.3,77.9
USC00404636,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/9/2013,24.7,0,32,21.4,77.2
USC00404637,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/10/2013,21.4,0.9,31.5,23.1,77.5
USC00404638,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/11/2013,23.8,0.8,31.4,19.9,77.8
USC00404639,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/12/2013,29.6,0,29,17.3,74.6
USC00404640,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/13/2013,26.4,0,29.5,15.6,72.4
USC00404641,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/14/2013,14.5,10.6,28,20,84.9
USC00404642,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/15/2013,22.8,0.9,30.8,22.3,82.1
USC00404643,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/16/2013,26.8,0.4,32.3,21.5,76.9
USC00404644,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/17/2013,25,0.1,32.3,21.9,76.7
USC00404645,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/18/2013,19.7,8.7,32.3,22.8,78.1
USC00404646,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/19/2013,24.6,0.1,32.1,20.7,76.6
USC00404647,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/20/2013,24.9,4.3,31.9,21.5,76.6
USC00404648,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/21/2013,18.2,15.6,30.5,21.8,80.8
USC00404649,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/22/2013,9.6,22.6,29.1,21.7,89.6
USC00404650,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/23/2013,16,10.2,28,22.9,91.7
USC00404651,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/24/2013,18.8,1.1,29.4,19.5,85.1
USC00404652,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/25/2013,27.8,0,27.2,16.6,76.1
USC00404653,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/26/2013,21.4,0.1,28.1,16.6,79.7
USC00404654,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/27/2013,22.7,0,28.3,19.4,78.1
USC00404655,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/28/2013,19,0,26.8,16.1,72
USC00404656,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/29/2013,20.9,0,28.1,16.1,67.4
USC00404657,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/30/2013,10.5,5,28.2,17.9,81.1
USC00404658,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/31/2013,16.3,12.8,30.4,21.6,86.8
USC00404659,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/1/2013,25.6,0.1,29.1,20,82.7
USC00404660,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/2/2013,26.4,0,30.6,18,68.3
USC00404661,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/3/2013,6.7,11,27.8,21,86.7
USC00404662,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/4/2013,23.6,0,29.6,20.3,80.6
USC00404663,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/5/2013,9.3,3.9,30.1,19.3,83.6
USC00404664,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/6/2013,8.4,14.3,28.2,22.9,91.9
USC00404665,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/7/2013,18.3,2.8,29.8,23.1,85.5
USC00404666,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/8/2013,19,1.3,30,23.3,88.9
USC00404667,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/9/2013,20.1,1.3,31.7,23.1,82.1
USC00404668,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/10/2013,17.2,2.5,30.2,23,87.1
USC00404669,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/11/2013,13.1,3.5,29.3,21.9,86.9
USC00404670,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/12/2013,18,19,30.5,21.8,87.1
USC00404671,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/13/2013,17.4,2.9,28.8,20.6,84.7
USC00404672,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/14/2013,26.4,0,24.7,14.9,73.5
USC00404673,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/15/2013,25,0,26.3,12.4,75.9
USC00404674,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/16/2013,14.4,0.6,25.9,15.9,83.6
USC00404675,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/17/2013,14.7,0.4,26.8,17.3,82.4
USC00404676,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/18/2013,17.2,4,27.7,17.4,81.7
USC00404677,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/19/2013,19.3,0.5,29.1,17.5,82.2
USC00404678,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/20/2013,19.8,1.3,30.3,19.6,77.4
USC00404679,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/21/2013,20.6,2.1,31.9,20.7,77.2
USC00404680,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/22/2013,20.4,0.3,32,21.8,75
USC00404681,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/23/2013,21.8,0.1,32.2,22,72.9
USC00404682,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/24/2013,23,0.3,33.2,21.3,73.7
USC00404683,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/25/2013,21,0,32.5,22.3,73.7
USC00404684,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/26/2013,23.7,0,33,20.1,66.2
USC00404685,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/27/2013,22.3,0,32,19.1,66.4
USC00404686,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/28/2013,23,0,33.1,20,65.2
USC00404687,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/29/2013,22.6,0,34.7,21.4,67.2
USC00404688,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/30/2013,22.9,0,35.5,22.4,65.6
USC00404689,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/31/2013,22.2,0.1,36,22.5,61.4
USC00404690,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/1/2013,7.2,16.9,34.5,22.6,67.1
USC00404691,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/2/2013,14.2,8.4,31.4,21.7,77.2
USC00404692,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/3/2013,24.5,0,30.7,19.3,66.4
USC00404693,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/4/2013,23.4,0,29,17.4,69
USC00404694,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/5/2013,24.2,0,31.1,16.6,64.9
USC00404695,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/6/2013,22.4,0,33.5,17.6,63.9
USC00404696,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/7/2013,23,0,34.5,18.4,60.1
USC00404697,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/8/2013,20.1,1.2,34.6,19.5,62.5
USC00404698,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/9/2013,18,2.9,34.6,22.3,70.3
USC00404699,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/10/2013,14.5,8,33.6,21.9,74.7
USC00404700,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/11/2013,17,5.6,33,22.7,75.8
USC00404701,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/12/2013,17.6,2.3,33.5,21.4,71.9
USC00404702,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/13/2013,23.1,0,28.2,14.9,56.3
USC00404703,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/14/2013,24.1,0,26.1,11.4,58.2
USC00404704,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/15/2013,23.2,0,28.9,10.6,55.7
USC00404705,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/16/2013,21.2,0,30.5,16.9,57.8
USC00404706,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/17/2013,20,0,32.1,18.2,67.1
USC00404707,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/18/2013,12.5,0,30.9,19.6,71.9
USC00404708,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/19/2013,20,0,32.8,20.6,68.4
USC00404709,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/20/2013,11,49.4,29.2,20.3,83.3
USC00404710,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/21/2013,20.6,14.9,22.9,12.8,73.9
USC00404711,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/22/2013,22.4,0,24.2,10.1,71.3
USC00404712,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/23/2013,22.6,0,25.6,10.3,77.1
USC00404713,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/24/2013,6.9,2.9,26.1,16.4,89.4
USC00404714,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/25/2013,15.2,0.6,28.4,16.6,79.9
USC00404715,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/26/2013,18.3,0,28.9,16.2,79.3
USC00404716,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/27/2013,19.8,0,28.9,14,73.8
USC00404717,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/28/2013,21,0,27.6,14.8,70.2
USC00404718,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/29/2013,4.6,4.9,21.6,16.4,85.4
USC00404719,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/30/2013,5.5,10.3,25,16.9,88.5
USC00404720,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/1/2013,13.7,0.3,27.4,16.4,85.4
USC00404721,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/2/2013,11.8,0.1,28.2,19.1,79.3
USC00404722,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/3/2013,18.3,0,29.6,17.6,77.2
USC00404723,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/4/2013,14.6,0.1,30.4,19.4,82.2
USC00404724,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/5/2013,15,18.8,30.3,20.9,83.4
USC00404725,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/6/2013,8.6,15.6,21.6,9.7,78.6
USC00404726,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/7/2013,19.2,0,19.2,7.3,73.6
USC00404727,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/8/2013,19.5,0,21.8,7.7,75.1
USC00404728,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/9/2013,14.1,0,23.2,11.4,84.4
USC00404729,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/10/2013,14.5,0,26.2,15.8,77.2
USC00404730,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/11/2013,17.5,0,26.9,12.8,75.5
USC00404731,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/12/2013,10.2,1.4,25.8,14.9,80.6
USC00404732,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/13/2013,14,0,26.1,13.8,75.6
USC00404733,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/14/2013,16.8,0,27.2,11.6,75.4
USC00404734,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/15/2013,7.3,6.5,24.1,17.4,85.8
USC00404735,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/16/2013,3,6.3,18.6,14.4,89.4
USC00404736,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/17/2013,11.3,7.6,19,10.4,80.1
USC00404737,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/18/2013,15.9,0,20.4,8.4,71.6
USC00404738,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/19/2013,7.8,0.7,15.7,6.3,73.8
USC00404739,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/20/2013,18.3,0,18.5,2.3,64.9
USC00404740,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/21/2013,16.6,0,21.2,4.1,71.8
USC00404741,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/22/2013,15.4,1.1,18.9,7.8,72.4
USC00404742,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/23/2013,15.8,0,13.3,3.2,65.7
USC00404743,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/24/2013,13.2,0,15.6,2.4,60.2
USC00404744,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/25/2013,17.8,0,11.9,-1.3,60.3
USC00404745,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/26/2013,12.3,0,17.3,0.6,65.4
USC00404746,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/27/2013,7.7,1.1,19.7,8.5,88.5
USC00404747,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/28/2013,9,0.3,21.1,10.9,83.6
USC00404748,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/29/2013,8.4,0,23.6,10.9,87.2
